,Date,Time,Energy (MeV),Accumulated Dose,Pressure,Radium target mass (g),Extraction,Date and Time,Elapsed time (s),dt (s),Integrated Power (kWhr from Acc),Dose rate (Gy/s),power,electrons,reaction rate per gram,reactions per second,Radium-225,Actinium-225,Radium-225 Activity (mCi),Actinium-225 Activity (mCi)
0,,,13.6,,,0.0411,NO,2022-10-03 05:47:00,5245020.0,5245020.0,167.54925,,114.99999999999999,52849264705882.34,2.5381999999999997e-06,5513236.351102939,4496206613922.608,2993191305679.7676,0.06529505421444447,0.06543007078143341
1,,,13.6,,,0.0411,NO,2022-10-03 06:47:00,5248620.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4507356963565.215,2993173321473.0444,0.06545698242347506,0.06542967765323054
2,,,13.6,,,0.0411,NO,2022-10-03 07:47:00,5252220.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4518485744370.379,2993176958468.441,0.06561859740437113,0.06542975715662405
3,,,13.6,,,0.0411,NO,2022-10-03 08:47:00,5255820.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4529592998060.087,2993202111989.441,0.06577989976302993,0.06543030700342346
4,,,13.6,,,0.0411,NO,2022-10-03 09:47:00,5259420.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4540678766275.622,2993248677745.0205,0.0659408901041768,0.065431324913865
5,,,13.6,,,0.0411,NO,2022-10-03 10:47:00,5263020.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4551743090577.716,2993316551828.37,0.06610156903136719,0.06543280861658368
6,,,13.6,,,0.0411,NO,2022-10-03 11:47:00,5266620.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4562786012446.708,2993405630715.619,0.06626193714698912,0.06543475584858545
7,,,13.6,,,0.0411,NO,2022-10-03 12:47:00,5270220.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4573807573282.699,2993515811264.5664,0.06642199505226541,0.06543716435521937
8,,,13.6,,,0.0411,NO,2022-10-03 13:47:00,5273820.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4584807814405.708,2993646990713.413,0.06658174334725583,0.06544003189015002
9,,,13.6,,,0.0411,NO,2022-10-03 14:47:00,5277420.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4595786777055.824,2993799066679.4995,0.06674118263085947,0.06544335621532973
10,,,13.6,,,0.0411,NO,2022-10-03 15:47:00,5281020.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4606744502393.364,2993971937158.048,0.06690031350081686,0.06544713510097129
11,,,13.6,,,0.0411,NO,2022-10-03 16:47:00,5284620.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4617681031499.026,2994165500520.907,0.06705913655371235,0.06545136632552033
12,,,13.6,,,0.0411,NO,2022-10-03 17:47:00,5288220.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4628596405374.042,2994379655515.3022,0.06721765238497622,0.06545604767562811
13,,,13.6,,,0.0411,NO,2022-10-03 18:47:00,5291820.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4639490664940.334,2994614301262.5874,0.06737586158888705,0.06546117694612423
14,,,13.6,,,0.0411,NO,2022-10-03 19:47:00,5295420.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4650363851040.665,2994869337257.0034,0.06753376475857378,0.0654667519399894
15,,,13.6,,,0.0411,NO,2022-10-03 20:47:00,5299020.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4661216004438.794,2995144663364.439,0.06769136248601809,0.06547277046832846
16,,,13.6,,,0.0411,NO,2022-10-03 21:47:00,5302620.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4672047165819.627,2995440179821.1953,0.06784865536205652,0.06547923035034335
17,,,13.6,,,0.0411,NO,2022-10-03 22:47:00,5306220.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4682857375789.372,2995755787232.7554,0.06800564397638273,0.06548612941330612
18,,,13.6,,,0.0411,NO,2022-10-03 23:47:00,5309820.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4693646674875.688,2996091386572.557,0.06816232891754967,0.06549346549253225
19,,,13.6,,,0.0411,NO,2022-10-04 00:47:00,5313420.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4704415103527.842,2996446879180.7695,0.06831871077297184,0.06550123643135379
20,,,13.6,,,0.0411,NO,2022-10-04 01:47:00,5317020.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4715162702116.853,2996822166763.073,0.0684747901289275,0.06550944008109277
21,,,13.6,,,0.0411,NO,2022-10-04 02:47:00,5320620.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4725889510935.65,2997217151389.445,0.06863056757056075,0.06551807430103454
22,,,13.6,,,0.0411,NO,2022-10-04 03:47:00,5324220.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4736595570199.223,2997631735492.946,0.06878604368188389,0.06552713695840144
23,,,13.6,,,0.0411,NO,2022-10-04 04:47:00,5327820.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4747280920044.767,2998065821868.5137,0.06894121904577945,0.0655366259283262
24,,,13.6,,,0.0411,NO,2022-10-04 05:47:00,5331420.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4757945600531.84,2998519313671.7583,0.06909609424400252,0.06554653909382578
25,,,13.6,,,0.0411,NO,2022-10-04 06:47:00,5335020.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4768589651642.51,2998992114417.7617,0.06925066985718284,0.06555687434577502
26,,,13.6,,,0.0411,NO,2022-10-04 07:47:00,5338620.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4779213113281.504,2999484127979.8813,0.069404946464827,0.0655676295828806
27,,,13.6,,,0.0411,NO,2022-10-04 08:47:00,5342220.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4789816025276.359,2999995258588.5566,0.0695589246453206,0.0655788027116548
28,,,13.6,,,0.0411,NO,2022-10-04 09:47:00,5345820.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4800398427377.573,3000525410830.121,0.06971260497593045,0.06559039164638966
29,,,13.6,,,0.0411,NO,2022-10-04 10:47:00,5349420.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4810960359258.75,3001074489645.6157,0.0698659880328067,0.065602394309131
30,,,13.6,,,0.0411,NO,2022-10-04 11:47:00,5353020.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4821501860516.751,3001642400329.6094,0.07001907439098505,0.06561480862965263
31,,,13.6,,,0.0411,NO,2022-10-04 12:47:00,5356620.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4832022970671.843,3002229048529.019,0.07017186462438883,0.06562763254543053
32,,,13.6,,,0.0411,NO,2022-10-04 13:47:00,5360220.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4842523729167.845,3002834340241.9365,0.07032435930583121,0.06564086400161727
33,,,13.6,,,0.0411,NO,2022-10-04 14:47:00,5363820.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4853004175372.278,3003458181816.458,0.07047655900701733,0.06565450095101635
34,,,13.6,,,0.0411,NO,2022-10-04 15:47:00,5367420.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4863464348576.515,3004100479949.5176,0.07062846429854645,0.06566854135405678
35,,,13.6,,,0.0411,NO,2022-10-04 16:47:00,5371020.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4873904287995.919,3004761141685.7236,0.07078007574991407,0.06568298317876758
36,,,13.6,,,0.0411,NO,2022-10-04 17:47:00,5374620.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4884324032770.001,3005440074416.2,0.0709313939295141,0.0656978244007525
37,,,13.6,,,0.0411,NO,2022-10-04 18:47:00,5378220.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4894723621962.561,3006137185877.431,0.07108241940464094,0.0657130630031647
38,,,13.6,,,0.0411,NO,2022-10-04 19:47:00,5381820.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4905103094561.833,3006852384150.108,0.07123315274149167,0.06572869697668159
39,,,13.6,,,0.0411,NO,2022-10-04 20:47:00,5385420.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4915462489480.637,3007585577657.9805,0.0713835945051681,0.06574472431947975
40,,,13.6,,,0.0411,NO,2022-10-04 21:47:00,5389020.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4925801845556.519,3008336675166.7144,0.07153374525967894,0.06576114303720988
41,,,13.6,,,0.0411,NO,2022-10-04 22:47:00,5392620.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4936121201551.9,3009105585782.747,0.07168360556794194,0.06577795114297183
42,,,13.6,,,0.0411,NO,2022-10-04 23:47:00,5396220.0,3600.0,0.115,,115.0,52849264705882.35,2.5381999999999997e-06,5513236.35110294,4946420596154.221,3009892218952.1533,0.07183317599178592,0.0657951466572898
