,Date,Time,Energy (MeV),Accumulated Dose,Pressure,Radium target mass (g),Extraction,Date and Time,Elapsed time (s),dt (s),Integrated Power (kWhr from Acc),Dose rate (Gy/s),power,electrons,reaction rate per gram,reactions per second,Radium-225,Actinium-225,Radium-225 Activity (mCi),Actinium-225 Activity (mCi)
0,,,11.7,,,0.0411,NO,2022-10-14 11:50:00,6217200.0,6217200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2893409795391.3804,78199484630.79196,0.04201883180138411,0.0017094122265941599
1,,,11.7,,,0.0411,NO,2022-10-14 13:50:00,6224400.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2882215978599.4917,88937914005.516,0.04185627235137358,0.0019441503780569013
2,,,11.7,,,0.0411,NO,2022-10-14 15:50:00,6231600.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2871065467645.086,99570503299.20757,0.041694341799732075,0.002176574903932021
3,,,11.7,,,0.0411,NO,2022-10-14 17:50:00,6238800.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2859958094989.637,110098036400.2487,0.041533037713422566,0.0024067029397337857
4,,,11.7,,,0.0411,NO,2022-10-14 19:50:00,6246000.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2848893693742.7812,120521291983.9594,0.04137235766882081,0.0026345515070208265
5,,,11.7,,,0.0411,NO,2022-10-14 21:50:00,6253200.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2837872097659.8076,130841043545.4629,0.041212299251678894,0.002860137514114562
6,,,11.7,,,0.0411,NO,2022-10-14 23:50:00,6260400.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2826893141139.16,141058059432.35004,0.04105286005708897,0.003083477756813227
7,,,11.7,,,0.0411,NO,2022-10-15 01:50:00,6267600.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2815956659219.9517,151173102877.1435,0.040894037689447146,0.0033045889191015347
8,,,11.7,,,0.0411,NO,2022-10-15 03:50:00,6274800.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2805062487579.483,161186932029.56357,0.04073582976241745,0.003523487573855988
9,,,11.7,,,0.0411,NO,2022-10-15 05:50:00,6282000.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2794210462530.775,171100299988.59634,0.040578233898896025,0.003740190183545883
10,,,11.7,,,0.0411,NO,2022-10-15 07:50:00,6289200.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2783400421020.109,180913954834.36563,0.04042124773097534,0.003954713100930015
11,,,11.7,,,0.0411,NO,2022-10-15 09:50:00,6296400.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2772632200624.577,190628639659.8097,0.0402648688999087,0.00416707256974912
12,,,11.7,,,0.0411,NO,2022-10-15 11:50:00,6303600.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2761905639549.6416,200245092602.1642,0.04010909505607472,0.004377284725414087
13,,,11.7,,,0.0411,NO,2022-10-15 13:50:00,6310800.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2751220576626.703,209764046874.2522,0.03995392385894209,0.004585365595689934
14,,,11.7,,,0.0411,NO,2022-10-15 15:50:00,6318000.0,7200.0,0.0,,0.0,0.0,1.0442399999999995e-06,0.0,2740576851310.681,219186230795.58258,0.03979935297703439,0.004791331101375619
